p	I1 / %
552	3,5
553	3,5
554	3,5
555	3,5
556	3,5
557	3,5
558	3,5
559	3,5
560	3,5
561	3,5
562	3,5
563	3,5
564	3,5
565	3,5
566	3,5
567	3,5
568	3,5
569	3,5
570	3,5
571	3,5
572	3,5
573	3,5
574	3,5
575	3,5
576	3,5
577	3,5
578	3,5
579	3,5
580	3,5
581	3,5
582	3,5
583	3,5
584	3,5
585	3,5
586	3,5
587	3,5
588	3,5
589	3,5
590	3,5
591	3,5
592	3,5
593	3,5
594	3,5
595	3,5
596	3,5
597	3,5
598	3,5
599	3,6
600	3,5
601	3,5
602	3,5
603	3,6
604	3,6
605	3,6
606	3,6
607	3,6
608	3,6
609	3,6
610	3,6
611	3,6
612	3,6
613	3,6
614	3,6
615	3,6
616	3,6
617	3,6
618	3,6
619	3,6
620	3,6
621	3,6
622	3,6
623	3,6
624	3,6
625	3,6
626	3,6
627	3,6
628	3,6
629	3,6
630	3,7
631	3,7
632	3,6
633	3,6
634	3,7
635	3,7
636	3,6
637	3,7
638	3,7
639	3,7
640	3,7
641	3,7
642	3,7
643	3,7
644	3,7
645	3,7
646	3,7
647	3,7
648	3,7
649	3,7
650	3,7
651	3,7
652	3,7
653	3,8
654	3,7
655	3,7
656	3,7
657	3,7
658	3,8
659	3,8
660	3,8
661	3,8
662	3,8
663	3,8
664	3,8
665	3,8
666	3,9
667	4,0
668	4,2
669	4,6
670	5,0
671	5,3
672	5,7
673	6,5
674	7,8
675	9,7
676	11,2
677	11,7
678	11,1
679	9,3
680	7,5
681	6,0
682	5,0
683	4,4
684	4,1
685	3,9
686	3,8
687	3,8
688	3,8
689	3,8
690	3,8
691	3,8
692	3,8
693	3,8
694	3,8
695	3,8
696	3,8
697	3,8
698	3,8
699	3,8
700	3,8
701	3,8
702	3,8
703	3,8
704	3,8
705	3,8
706	3,8
707	3,8
708	3,8
709	3,8
710	3,8
711	3,8
712	3,8
713	3,8
714	3,8
715	3,8
716	3,8
717	3,8
718	3,8
719	3,8
720	3,8
721	3,8
722	3,8
723	3,8
724	3,8
725	3,8
726	3,8
727	3,8
728	3,8
729	3,8
730	3,8
731	3,8
732	3,8
733	3,8
734	3,8
735	3,8
736	3,8
737	3,8
738	3,8
739	3,8
740	3,8
741	3,8
742	3,8
743	3,8
744	3,8
745	3,8
746	3,8
747	3,8
748	3,8
749	3,8
750	3,8
751	3,8
752	3,8
753	3,8
754	3,8
755	3,8
756	3,8
757	3,8
758	3,9
759	3,9
760	3,8
761	3,8
762	3,8
763	3,8
764	3,8
765	3,9
766	3,9
767	3,8
768	3,8
769	3,8
770	3,8
771	3,8
772	3,9
773	3,9
774	3,8
775	3,8
776	3,9
777	3,9
778	3,9
779	3,9
780	3,9
781	3,9
782	3,9
783	3,9
784	3,9
785	3,9
786	3,9
787	3,9
788	3,9
789	3,9
790	3,9
791	3,9
792	3,9
793	3,9
794	3,9
795	3,9
796	3,9
797	3,9
798	3,9
799	3,9
800	3,9
801	4,0
802	4,0
803	3,9
804	3,9
805	4,0
806	4,0
807	4,0
808	4,1
809	4,2
810	4,2
811	4,6
812	4,9
813	5,1
814	5,1
815	5,1
816	4,9
817	4,5
818	4,3
819	4,2
820	4,1
821	4,0
822	4,1
823	4,1
824	4,1
825	4,1
826	4,1
827	4,0
828	4,0
829	4,1
830	4,1
831	4,0
832	4,0
833	4,1
834	4,0
835	4,0
836	4,1
837	4,1
838	4,1
839	4,1
840	4,1
841	4,1
842	4,1
843	4,1
844	4,1
845	4,1
846	4,1
847	4,1
848	4,1
849	4,1
850	4,1
851	4,1
852	4,1
853	4,1
854	4,1
855	4,1
856	4,1
857	4,1
858	4,2
859	4,2
860	4,1
861	4,2
862	4,1
863	4,1
864	4,2
865	4,2
866	4,2
867	4,1
868	4,1
869	4,1
870	4,2
871	4,2
872	4,2
873	4,2
874	4,2
875	4,2
876	4,2
877	4,2
878	4,2
879	4,2
880	4,2
881	4,2
882	4,2
883	4,2
884	4,2
885	4,2
886	4,2
887	4,2
888	4,2
889	4,2
890	4,2
891	4,2
892	4,2
893	4,2
894	4,2
895	4,2
896	4,2
897	4,2
898	4,2
899	4,3
900	4,3
901	4,2
902	4,2
903	4,2
904	4,2
905	4,2
906	4,3
907	4,2
908	4,2
909	4,3
910	4,2
911	4,2
912	4,3
913	4,3
914	4,3
915	4,3
916	4,3
917	4,3
918	4,3
919	4,3
920	4,3
921	4,3
922	4,3
923	4,3
924	4,3
925	4,3
926	4,3
927	4,3
928	4,3
929	4,3
930	4,3
931	4,3
932	4,3
933	4,4
934	4,4
935	4,4
936	4,4
937	4,4
938	4,4
939	4,4
940	4,4
941	4,4
942	4,4
943	4,4
944	4,4
945	4,4
946	4,4
947	4,4
948	4,4
949	4,4
950	4,4
951	4,4
952	4,4
953	4,4
954	4,4
955	4,5
956	4,5
957	4,5
958	4,5
959	4,5
960	4,5
961	4,5
962	4,5
963	4,5
964	4,5
965	4,5
966	4,5
967	4,5
968	4,5
969	4,6
970	4,6
971	4,6
972	4,6
973	4,6
974	4,5
975	4,6
976	4,6
977	4,6
978	4,6
979	4,6
980	4,6
981	4,6
982	4,6
983	4,6
984	4,6
985	4,6
986	4,6
987	4,6
988	4,6
989	4,6
990	4,6
991	4,6
992	4,6
993	4,6
994	4,6
995	4,6
996	4,6
997	4,6
998	4,6
999	4,6
1000	4,6
1001	4,6
1002	4,6
1003	4,6
1004	4,6
1005	4,6
1006	4,6
1007	4,6
1008	4,6
1009	4,6
1010	4,6
1011	4,6
1012	4,6
1013	4,6
1014	4,6
1015	4,7
1016	4,7
1017	4,7
1018	4,7
1019	4,7
1020	4,7
1021	4,7
1022	4,7
1023	4,7
1024	4,8
1025	4,8
1026	4,8
1027	4,8
1028	4,8
1029	4,8
1030	4,8
1031	4,8
1032	4,8
1033	4,8
1034	4,8
1035	4,8
1036	4,8
1037	4,8
1038	4,8
1039	4,8
1040	4,8
1041	4,8
1042	4,8
1043	4,8
1044	4,8
1045	4,9
1046	4,9
1047	4,9
1048	4,9
1049	4,9
1050	4,9
1051	4,9
1052	4,9
1053	4,9
1054	4,9
1055	4,9
1056	4,9
1057	4,9
1058	4,9
1059	4,9
1060	4,9
1061	5,0
1062	5,0
1063	5,0
1064	5,0
1065	5,0
1066	5,0
1067	5,0
1068	5,0
1069	5,0
1070	5,0
1071	5,0
1072	5,0
1073	5,0
1074	5,0
1075	5,0
1076	5,0
1077	5,0
1078	5,0
1079	5,0
1080	5,0
1081	5,0
1082	5,0
1083	5,0
1084	5,0
1085	5,0
1086	5,0
1087	5,0
1088	5,0
1089	5,0
1090	5,0
1091	5,0
1092	5,0
1093	5,0
1094	5,1
1095	5,1
1096	5,1
1097	5,1
1098	5,1
1099	5,1
1100	5,1
1101	5,1
1102	5,1
1103	5,1
1104	5,1
1105	5,1
1106	5,1
1107	5,1
1108	5,1
1109	5,1
1110	5,1
1111	5,1
1112	5,1
1113	5,1
1114	5,1
1115	5,1
1116	5,1
1117	5,2
1118	5,2
1119	5,2
1120	5,2
1121	5,2
1122	5,2
1123	5,3
1124	5,3
1125	5,3
1126	5,3
1127	5,3
1128	5,3
1129	5,3
1130	5,3
1131	5,3
1132	5,3
1133	5,3
1134	5,3
1135	5,4
1136	5,3
1137	5,4
1138	5,4
1139	5,4
1140	5,4
1141	5,4
1142	5,4
1143	5,4
1144	5,4
1145	5,4
1146	5,4
1147	5,4
1148	5,4
1149	5,4
1150	5,4
1151	5,5
1152	5,5
1153	5,5
1154	5,5
1155	5,5
1156	5,5
1157	5,5
1158	5,5
1159	5,5
1160	5,5
1161	5,5
1162	5,5
1163	5,5
1164	5,5
1165	5,5
1166	5,6
1167	5,5
1168	5,5
1169	5,5
1170	5,5
1171	5,5
1172	5,6
1173	5,6
1174	5,6
1175	5,6
1176	5,6
1177	5,6
1178	5,6
1179	5,7
1180	5,7
1181	5,7
1182	5,7
1183	5,7
1184	5,7
1185	5,7
1186	5,7
1187	5,8
1188	5,8
1189	5,8
1190	5,8
1191	5,8
1192	5,8
1193	5,8
1194	5,8
1195	5,8
1196	5,8
1197	5,8
1198	5,8
1199	5,8
1200	5,8
1201	5,8
1202	5,8
1203	5,8
1204	5,8
1205	5,8
1206	5,8
1207	5,8
1208	5,8
1209	5,9
1210	5,8
1211	5,8
1212	5,8
1213	5,9
1214	5,9
1215	5,9
1216	5,9
1217	5,9
1218	5,9
1219	5,9
1220	5,9
1221	5,9
1222	5,9
1223	5,9
1224	5,9
1225	6,0
1226	6,0
1227	6,0
1228	6,0
1229	6,0
1230	6,0
1231	6,1
1232	6,1
1233	6,1
1234	6,1
1235	6,1
1236	6,1
1237	6,1
1238	6,2
1239	6,2
1240	6,2
1241	6,2
1242	6,2
1243	6,2
1244	6,2
1245	6,2
1246	6,2
1247	6,2
1248	6,2
1249	6,2
1250	6,2
1251	6,2
1252	6,2
1253	6,2
1254	6,2
1255	6,2
1256	6,2
1257	6,3
1258	6,3
1259	6,3
1260	6,3
1261	6,3
1262	6,3
1263	6,3
1264	6,3
1265	6,3
1266	6,3
1267	6,3
1268	6,3
1269	6,3
1270	6,4
1271	6,4
1272	6,4
1273	6,4
1274	6,4
1275	6,4
1276	6,4
1277	6,4
1278	6,4
1279	6,5
1280	6,5
1281	6,5
1282	6,5
1283	6,5
1284	6,5
1285	6,6
1286	6,6
1287	6,6
1288	6,6
1289	6,6
1290	6,6
1291	6,6
1292	6,6
1293	6,6
1294	6,6
1295	6,6
1296	6,6
1297	6,6
1298	6,6
1299	6,6
1300	6,6
1301	6,7
1302	6,7
1303	6,7
1304	6,7
1305	6,7
1306	6,7
1307	6,7
1308	6,7
1309	6,7
1310	6,7
1311	6,7
1312	6,7
1313	6,8
1314	6,8
1315	6,8
1316	6,8
1317	6,9
1318	6,9
1319	6,9
1320	6,9
1321	6,9
1322	6,9
1323	6,9
1324	7,0
1325	7,0
1326	7,0
1327	7,0
1328	7,0
1329	7,0
1330	7,0
1331	7,0
1332	7,0
1333	7,0
1334	7,0
1335	7,0
1336	7,1
1337	7,1
1338	7,1
1339	7,1
1340	7,1
1341	7,1
1342	7,1
1343	7,1
1344	7,1
1345	7,1
1346	7,2
1347	7,2
1348	7,2
1349	7,2
1350	7,2
1351	7,3
1352	7,3
1353	7,3
1354	7,3
1355	7,3
1356	7,3
1357	7,4
1358	7,4
1359	7,4
1360	7,4
1361	7,4
1362	7,4
1363	7,4
1364	7,4
1365	7,4
1366	7,4
1367	7,4
1368	7,4
1369	7,4
1370	7,4
1371	7,4
1372	7,4
1373	7,4
1374	7,4
1375	7,4
1376	7,4
1377	7,4
1378	7,4
1379	7,4
1380	7,4
1381	7,4
1382	7,4
1383	7,4
1384	7,4
1385	7,4
1386	7,4
1387	7,4
1388	7,4
1389	7,4
1390	7,4
1391	7,4
1392	7,5
1393	7,5
1394	7,5
1395	7,5
1396	7,5
1397	7,5
1398	7,5
1399	7,6
1400	7,6
1401	7,6
1402	7,7
1403	7,7
1404	7,7
1405	7,7
1406	7,8
1407	7,8
1408	7,8
1409	7,8
1410	7,9
1411	7,9
1412	7,9
1413	8,0
1414	8,0
1415	8,0
1416	8,0
1417	8,0
1418	8,1
1419	8,0
1420	8,1
1421	8,1
1422	8,1
1423	8,1
1424	8,2
1425	8,2
1426	8,2
1427	8,2
1428	8,2
1429	8,2
1430	8,2
1431	8,3
1432	8,3
1433	8,3
1434	8,3
1435	8,4
1436	8,4
1437	8,4
1438	8,4
1439	8,4
1440	8,4
1441	8,5
1442	8,5
1443	8,5
1444	8,5
1445	8,6
1446	8,6
1447	8,6
1448	8,6
1449	8,6
1450	8,6
1451	8,6
1452	8,6
1453	8,6
1454	8,6
1455	8,6
1456	8,7
1457	8,7
1458	8,7
1459	8,7
1460	8,8
1461	8,8
1462	8,8
1463	8,9
1464	8,9
1465	8,9
1466	8,9
1467	8,9
1468	9,0
1469	9,0
1470	9,0
1471	9,0
1472	9,0
1473	9,0
1474	9,0
1475	9,0
1476	9,0
1477	9,1
1478	9,1
1479	9,1
1480	9,1
1481	9,2
1482	9,2
1483	9,2
1484	9,3
1485	9,3
1486	9,3
1487	9,3
1488	9,4
1489	9,4
1490	9,4
1491	9,4
1492	9,4
1493	9,4
1494	9,4
1495	9,4
1496	9,4
1497	9,4
1498	9,4
1499	9,5
1500	9,5
1501	9,5
1502	9,5
1503	9,6
1504	9,6
1505	9,6
1506	9,7
1507	9,7
1508	9,7
1509	9,8
1510	9,8
1511	9,8
1512	9,8
1513	9,8
1514	9,8
1515	9,8
1516	9,8
1517	9,8
1518	9,9
1519	9,9
1520	9,9
1521	9,9
1522	9,9
1523	10,0
1524	10,0
1525	10,1
1526	10,1
1527	10,2
1528	10,2
1529	10,3
1530	10,3
1531	10,4
1532	10,4
1533	10,5
1534	10,6
1535	10,6
1536	10,8
1537	10,8
1538	10,8
1539	10,9
1540	10,9
1541	10,9
1542	10,9
1543	11,0
1544	11,0
1545	11,1
1546	11,2
1547	11,2
1548	11,3
1549	11,3
1550	11,4
1551	11,4
1552	11,4
1553	11,5
1554	11,6
1555	11,6
1556	11,7
1557	11,8
1558	11,8
1559	11,9
1560	12,1
1561	12,1
1562	12,1
1563	12,2
1564	12,2
1565	12,3
1566	12,4
1567	12,5
1568	12,5
1569	12,6
1570	12,6
1571	12,7
1572	12,8
1573	12,9
1574	13,0
1575	13,0
1576	13,0
1577	13,0
1578	13,1
1579	13,2
1580	13,3
1581	13,5
1582	13,5
1583	13,6
1584	13,7
1585	13,7
1586	13,7
1587	13,7
1588	13,8
1589	13,8
1590	13,8
1591	13,8
1592	14,0
1593	14,0
1594	14,1
1595	14,3
1596	14,4
1597	14,5
1598	14,6
1599	14,7
1600	14,8
1601	14,8
1602	14,9
1603	15,0
1604	15,1
1605	15,1
1606	15,3
1607	15,3
1608	15,3
1609	15,4
1610	15,5
1611	15,6
1612	15,7
1613	15,8
1614	15,8
1615	15,9
1616	16,1
1617	16,1
1618	16,2
1619	16,2
1620	16,2
1621	16,4
1622	16,4
1623	16,5
1624	16,6
1625	16,7
1626	16,8
1627	17,0
1628	17,1
1629	17,2
1630	17,2
1631	17,3
1632	17,3
1633	17,3
1634	17,4
1635	17,5
1636	17,6
1637	17,8
1638	18,0
1639	18,1
1640	18,1
1641	18,2
1642	18,2
1643	18,3
1644	18,5
1645	18,6
1646	18,7
1647	18,8
1648	18,8
1649	18,9
1650	18,9
1651	19,0
1652	19,2
1653	19,4
1654	19,4
1655	19,4
1656	19,5
1657	19,6
1658	19,8
1659	19,9
1660	20,0
1661	20,0
1662	20,1
1663	20,1
1664	20,2
1665	20,2
1666	20,4
1667	20,5
1668	20,6
1669	20,7
1670	20,9
1671	21,0
1672	21,0
1673	21,2
1674	21,3
1675	21,4
1676	21,5
1677	21,6
1678	21,7
1679	21,8
1680	22,0
1681	22,1
1682	22,2
1683	22,2
1684	22,4
1685	22,5
1686	22,5
1687	22,5
1688	22,6
1689	22,6
1690	22,6
1691	22,7
1692	23,0
1693	23,2
1694	23,4
1695	23,4
1696	23,4
1697	23,4
1698	23,4
1699	23,6
1700	23,7
1701	24,0
1702	24,2
1703	24,3
1704	24,3
1705	24,5
1706	24,6
1707	24,8
1708	25,0
1709	25,1
1710	25,2
1711	25,3
1712	25,4
1713	25,5
1714	25,6
1715	25,7
1716	25,9
1717	26,0
1718	26,1
1719	26,1
1720	26,2
1721	26,2
1722	26,3
1723	26,5
1724	26,5
1725	26,5
1726	26,6
1727	26,7
1728	26,8
1729	26,9
1730	27,1
1731	27,2
1732	27,4
1733	27,6
1734	27,8
1735	28,0
1736	28,1
1737	28,2
1738	28,4
1739	28,5
1740	28,5
1741	28,6
1742	28,7
1743	28,8
1744	28,9
1745	29,0
1746	29,2
1747	29,2
1748	29,3
1749	29,4
1750	29,5
1751	29,7
1752	29,9
1753	30,0
1754	30,1
1755	30,2
1756	30,4
1757	30,4
1758	30,5
1759	30,7
1760	30,8
1761	30,8
1762	31,0
1763	31,3
1764	31,3
1765	31,4
1766	31,4
1767	31,4
1768	31,4
1769	31,4
1770	31,5
1771	31,6
1772	31,9
1773	32,1
1774	32,2
1775	32,3
1776	32,4
1777	32,5
1778	32,6
1779	32,7
1780	32,9
1781	32,9
1782	33,0
1783	33,0
1784	33,3
1785	33,4
1786	33,6
1787	33,7
1788	33,8
1789	33,9
1790	34,0
1791	34,1
1792	34,1
1793	34,2
1794	34,3
1795	34,5
1796	34,6
1797	34,7
1798	34,9
1799	34,9
1800	35,0
1801	35,1
1802	35,1
1803	35,2
1804	35,2
1805	35,3
1806	35,4
1807	35,5
1808	35,7
1809	35,9
1810	36,1
1811	36,2
1812	36,3
1813	36,5
1814	36,6
1815	36,7
1816	36,9
1817	37,1
1818	37,3
1819	37,4
1820	37,6
1821	37,7
1822	37,8
1823	37,9
1824	38,0
1825	38,1
1826	38,2
1827	38,3
1828	38,4
1829	38,6
1830	38,7
1831	38,8
1832	38,9
1833	39,0
1834	39,2
1835	39,2
1836	39,3
1837	39,3
1838	39,4
1839	39,4
1840	39,5
1841	39,7
1842	39,9
1843	40,0
1844	40,2
1845	40,4
1846	40,5
1847	40,6
1848	40,8
1849	40,9
1850	41,0
1851	41,1
1852	41,2
1853	41,3
1854	41,3
1855	41,4
1856	41,4
1857	41,5
1858	41,7
1859	41,7
1860	41,8
1861	41,8
1862	42,0
1863	42,1
1864	42,2
1865	42,5
1866	42,6
1867	42,8
1868	42,9
1869	43,0
1870	43,2
1871	43,2
1872	43,3
1873	43,4
1874	43,5
1875	43,6
1876	43,7
1877	43,9
1878	44,0
1879	44,1
1880	44,2
1881	44,2
1882	44,3
1883	44,4
1884	44,5
1885	44,6
1886	44,7
1887	44,9
1888	45,0
1889	45,1
1890	45,3
1891	45,5
1892	45,7
1893	45,7
1894	45,7
1895	45,8
1896	45,8
1897	46,0
1898	46,2
1899	46,4
1900	46,5
1901	46,7
1902	46,8
1903	46,9
1904	47,0
1905	47,1
1906	47,2
1907	47,4
1908	47,6
1909	47,6
1910	47,6
1911	47,4
1912	47,3
1913	47,2
1914	47,2
1915	47,3
1916	47,3
1917	47,4
1918	47,5
1919	47,8
1920	48,2
1921	48,6
1922	49,0
1923	49,2
1924	49,3
1925	49,5
1926	49,6
1927	49,7
1928	49,7
1929	49,7
1930	49,8
1931	49,8
1932	49,8
1933	49,9
1934	50,0
1935	50,1
1936	50,2
1937	50,3
1938	50,4
1939	50,6
1940	50,7
1941	50,9
1942	51,0
1943	51,1
1944	51,2
1945	51,3
1946	51,3
1947	51,3
1948	51,4
1949	51,5
1950	51,6
1951	51,7
1952	51,9
1953	52,0
1954	52,1
1955	52,1
1956	52,2
1957	52,4
1958	52,7
1959	52,9
1960	52,9
1961	52,9
1962	53,0
1963	53,1
1964	53,2
1965	53,4
1966	53,4
1967	53,5
1968	53,5
1969	53,6
1970	53,7
1971	53,9
1972	54,0
1973	54,2
1974	54,3
1975	54,3
1976	54,4
1977	54,5
1978	54,6
1979	54,9
1980	55,0
1981	55,1
1982	55,2
1983	55,3
1984	55,3
1985	55,4
1986	55,4
1987	55,5
1988	55,5
1989	55,6
1990	55,6
1991	55,7
1992	55,8
1993	56,0
1994	56,1
1995	56,1
1996	56,2
1997	56,2
1998	56,5
1999	56,7
2000	56,9
2001	57,0
2002	57,0
2003	57,2
2004	57,2
2005	57,3
2006	57,4
2007	57,6
2008	57,7
2009	57,8
2010	57,8
2011	57,9
2012	58,0
2013	58,0
2014	58,1
2015	58,1
2016	58,2
2017	58,3
2018	58,4
2019	58,4
2020	58,5
2021	58,5
2022	58,5
2023	58,5
2024	58,5
2025	58,6
2026	58,6
2027	58,7
2028	58,8
2029	59,0
2030	59,1
2031	59,1
2032	59,2
2033	59,3
2034	59,3
2035	59,4
2036	59,5
2037	59,6
2038	59,7
2039	59,8
2040	60,0
2041	60,2
2042	60,2
2043	60,2
2044	60,4
2045	60,6
2046	60,9
2047	61,5
